track_id,artist_name,artist_id,title,song_id,release,genre,midi_path,faiss_id
TRAAGMC128F4292D0F,LITTLE TEXAS,ARDMBVC1187B98ED2A,My Love (Album Version),SONMIVJ12A58A76E0B,Rhino Hi-Five: Little Texas,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\G\TRAAGMC128F4292D0F,11
TRAAGMJ12903CAD7D4,Julien Clerc,ARW63KF1187B98AC48,This Melody (Live),SODRHHD12AB0189F2A,Vendredi 13 - 1981,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\G\TRAAGMJ12903CAD7D4,12
TRAAHOQ12903CC6A5A,The Hollies,ARXRNDO1187FB42BE5,Stop Stop Stop (1999 Digital Remaster),SOXVAWF12AF72AAFBE,The Albums Collection,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\H\TRAAHOQ12903CC6A5A,13
TRAAJSX128F4275A1D,Nelson Ned,AR6C8EJ1187FB3F473,Brasas Vivas,SOCCQIQ12A8C13C76B,Mis Momentos,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\J\TRAAJSX128F4275A1D,14
TRAAKDJ12903D09573,Arisen Flame,ARCVOFZ1187FB58074,Income,SOUBASN12AC468DB23,Income EP,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\K\TRAAKDJ12903D09573,15
TRAAKLG128F93453BB,Doves,ARW64KS1187FB3C94D,Jetstream (Sasha Subdub),SOFHWGB12AB0180F70,Winter Hill,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\K\TRAAKLG128F93453BB,16
TRAAKMU128F9355D15,Space DJZ,ARXZRGV1187B991738,Force Majeure,SOHGHHF12AB0189658,Force Majeure - The RMX's,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\K\TRAAKMU128F9355D15,17
TRAAKOM12903D14D9F,Sonny fodera,ARSNJVG1252CCFA28B,Changes feat Adaja Black (Original Mix),SOOTPVX12AC46864A3,Changes feat Adaja Black,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\K\TRAAKOM12903D14D9F,18
TRAAKQA128F424B272,Marilyn Monroe,ARP6N4J1187FB36C7B,I Wanna Be Loved By You,SOMFWHN12A8C13A014,The Very Best Of,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\K\TRAAKQA128F424B272,19
TRAAKQS128F4224DE1,Brazilian Tropical Orchestra,AREYIHC1187B99CE0B,One Less Bell To Answer,SOPBKEB12A6D4FD777,American Songbook - Bacharach,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\K\TRAAKQS128F4224DE1,20
TRAALAH128E078234A,The Verve,AR0L04E1187B9AE90C,Bitter Sweet Symphony,SOXQYSC12A6310E908,Bitter Sweet Symphony,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\L\TRAALAH128E078234A,21
TRAAMBM128F4248306,Gary Smith,AR7Y33Q1187FB3CAE0,It's Your Store,SOSUKOM12A8C13509B,TV And Radio - Disk 3,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\M\TRAAMBM128F4248306,22
TRAAMLX12903CF5B92,Saeed Younan,ARJAR3411C8A4162B3,Yeah Ha,SOSSGWI12A8C143551,Azuli Presents Miami 2010,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\M\TRAAMLX12903CF5B92,23
TRAANTZ128E0792529,Nine Inch Nails,ARK9TRQ1187B99C095,The Frail,SOKIGWD12A6701DE9D,Things Falling Apart,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\N\TRAANTZ128E0792529,24
TRAANZE128F148BF55,Abba,ART50HO1187FB4D0ED,The Name Of The Game,SOUQCDM12A58A7BBCE,Number Ones,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\N\TRAANZE128F148BF55,25
TRAAOPV128F92F7CE9,Queen + Paul Rodgers,ARVW94P1187B9B56AF,We Are The Champions (Live In Ukraine),SORTHRP12AB0183104,Live In Ukraine,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\O\TRAAOPV128F92F7CE9,26
TRAAPHH128F145D947,2 Fabiola,ARZ4MFK1187FB3DF9D,Magic Flight,SOAMXKG12A6D4F6E35,Androgyne,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\P\TRAAPHH128F145D947,27
TRAAPPQ128F14961F5,The B-52's,ARVML631187B99E90D,Wig,SONRSQW12A6D4F6D1C,The B52's,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\P\TRAAPPQ128F14961F5,28
TRAAPVV128F425D64C,Chris Brown,ARXOTQH1187FB57084,Forever,SOSGQPS12A8AE48538,Forever,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\P\TRAAPVV128F425D64C,29
TRAAQZY128F9364CC3,David Bowie,ARJA1841187FB3A029,Life On Mars? (1990 Digital Remaster),SOVYRXD12CF5F89062,101 Power Ballads,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\Q\TRAAQZY128F9364CC3,30
TRAARCW12903CEB779,Nat King Cole,AREIN101187FB5A5FA,When I Fall In Love,SOTFATQ12D021B3D6D,Love Is The Thing / After Midnight,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\R\TRAARCW12903CEB779,31
TRAASFP128F42980BD,Orbital,ARD5K161187B9AC784,Illuminate,SOFSKON12A8C13B3B5,The Altogether,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\S\TRAASFP128F42980BD,32
TRAASKR128F92DF3D1,Virginia Jetzt!,AR1XMED1187B995BD4,Hier Zu Sein,SOKQBVC12AB017F59F,Anfänger,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\S\TRAASKR128F92DF3D1,33
TRAASKZ128F9308820,Philadelphia Orchestra_ Eugene Ormandy,ARCTX431187FB3C834,The Nutcracker Suite: March,SOKVULZ12A8C143AB1,Absolutely Classical Vol. 87,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\S\TRAASKZ128F9308820,34
TRAASMT12903CC238B,Ace Cannon,ARDBGHU1187FB52D08,Rockin Robin,SOGAIYO12AB0188029,Classics,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\S\TRAASMT12903CC238B,35
TRAASNR12903CB443D,Jocelyn Pook,ARDSKB81187B9B791B,Sleigh Ride,SOHHJBV12A8C13D59D,Heidi: Music from the Original Motion Picture,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\S\TRAASNR12903CB443D,36
TRAATZB12903CC59D8,Harold Faltermeyer,ARDF6WB1187FB37F00,Axel F,SOWVROE12A6D4FBB23,Kids Dance Pac,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\T\TRAATZB12903CC59D8,37
TRAAVUT128F92F74F7,Steps,AR677KZ1187B9AEC78,I Know Him So Well,SOKZFZF12AB017CAB3,The Last Dance,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\V\TRAAVUT128F92F74F7,38
TRAAWSJ128F933D7EF,Gerry Rafferty,AR7UYEE1187FB3E336,Baker Street (Edit),SOGTJNT12A58A7B12F,EMI Presents 'The Great Big Scottish Songbook',,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\W\TRAAWSJ128F933D7EF,39
TRAAXWM128F428A0F1,DMX / Sisqo,ARTE9CG1187B99B1AF,What These Bitches Want,SOCVCDL12A58A7C054,The Definition of X: Pick Of The Litter,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\X\TRAAXWM128F428A0F1,40
TRAAYGH128F92ECD16,The Shirelles,ARALP6I1187B989E27,Will You Love Me Tomorrow,SOEMLQO12AB01808B6,Dreamboats & Petticoats 2,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\Y\TRAAYGH128F92ECD16,41
TRAAYGT128F4262DDF,The Jacksons,ARW3LUX1187FB5C4C0,Rock With You,SOLIRIF12A8C134752,Live,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\Y\TRAAYGT128F4262DDF,42
TRAAZJU12903C980B6,Lionel Rogg,ARN8NCB1187FB49652,Prelude And Fugue In C Major BWV 531 : Fugue,SOCPGVG12AB018AA84,Bach: Organ Works Vol.2,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\Z\TRAAZJU12903C980B6,43
TRAAZVF128F145BFED,Huey Lewis & The News,ARC0IOF1187FB3F6E6,I Want A New Drug,SOHDWWH12A6D4F7F6A,Sports,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\Z\TRAAZVF128F145BFED,44
TRAAZVG128F425A9BD,Westlife,AR5YRCN1187B98E3C8,When You're Looking Like That,SOEHNSI12D0219318E,World Of Our Own,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\Z\TRAAZVG128F425A9BD,45
TRABAFJ128F42AF24E,Backstreet Boys,AR3JMC51187B9AE49D,Larger Than Life,SOPVXLX12A8C1402D5,Just Want You To Know,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\A\TRABAFJ128F42AF24E,46
TRABAHZ128F933BD45,Richard Clayderman,ARL3IIC1187FB394BD,All By Myself,SOEUBDR12AB018986B,The World's Most Popular Pianist Plays Popular Bon-Bons_ Vol. 1,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\A\TRABAHZ128F933BD45,47
TRABAYJ128F92E34EC,Barry White,ARVT7941187B9AEB48,Can't Get Enough Of Your Love Babe,SOJZPLB12A58A7AEED,AN EVENING WITH,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\A\TRABAYJ128F92E34EC,48
TRABBFC128F428DFC5,Tina Turner,AR6001N1187B9A8632,We Don't Need Another Hero (Thunderdome),SOHEKIN12A67ADE6A7,Playlist: Ballads,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\B\TRABBFC128F428DFC5,49
TRABBNH128F93392A1,Percy Sledge,ARZ79B31187FB4F562,When A Man Loves A Woman,SOVTJFX12A58A79E43,Soul Party- 20 Sounds Of Soul,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\B\TRABBNH128F93392A1,50
TRABBNN128F931E094,Kenny Rogers And Sheena Easton,AR26BF61187FB43349,We've Got Tonight,SOOVJIO12AB01810E4,Very Best Of Kenny Rogers,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\B\TRABBNN128F931E094,51
TRABCJP128F4228913,Vince Guaraldi Trio,AROSPS51187B9B481F,The Christmas Song,SOHTCZS12A6D4FC402,A Charlie Brown Christmas [Expanded],,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\C\TRABCJP128F4228913,52
TRABEIK128F1456D56,The Cootees,ARPCNNQ1187B9992CF,I'm OK_ You're OK,SOFKCRM12A6D4F7764,Let's Play House,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\E\TRABEIK128F1456D56,53
TRABGCD128F42884EB,Nek,ARWV4871187B98BF87,Dime porqué,SOZXWPQ12A8C137F59,Nek,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\G\TRABGCD128F42884EB,54
TRABGMB128F92E8CF7,Lily Allen,ARKZJ301187FB521B2,Smile (Radio Edit),SOGRJNF12D02191C46,Smile,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\G\TRABGMB128F92E8CF7,55
TRABGRH12903CB2ACA,Maria-Joao Pires,AREYB0Q1187FB41524,Waltz No.12 in F minor Op.70 No.2,SORKWRN12AB01882FA,Chopin Masterworks Volume 2,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\G\TRABGRH12903CB2ACA,56
TRABHTY12903CCE195,Chris Rea,AR3793X1187FB50CB3,The Blue Cafe,SOMUMJA12A6701CE69,The Best Of Chris Rea,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\H\TRABHTY12903CCE195,57
TRABITZ12903CA9B5A,Samantha Fox,ARX5QKE1187B9B0AD3,Touch Me (I Want Your Body) ?09,SORXMBE12AB0185B34,Greatest Hits,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\I\TRABITZ12903CA9B5A,58
TRABIYX128F4286244,Sviatoslav Richter (piano),ARVMTLG122C86756DF,F.Chopin:Prelude_ Op.28. ?13 (C sharp major),SOHGRDK12A8C13AEAE,R.Schumann_ F.Chopin,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\I\TRABIYX128F4286244,59
TRABJCV128F4290D34,Tomcraft,ARA45QA1187FB40E80,Overdose (Killa Vocal Mix),SONXOZH12A8C13CA7B,Overdose,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\J\TRABJCV128F4290D34,60
TRABKUJ128F4292445,Christina Aguilera,AR0S7TA1187FB4D024,Pero Me Acuerdo De Tí,SOBCKIM12A8C13936C,Mi Reflejo,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\K\TRABKUJ128F4292445,61
TRABLGN128F933D417,Olivia Newton-John,AR0BGM11187B9B09BA,When You Believe,SODLJKJ12AB0189F7B,Stronger Than Before,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\L\TRABLGN128F933D417,62
TRABLNQ128F930E053,Gloria Gaynor,ARHIET31187FB42D8D,I Want To Know What Love Is,SOQQXOW12A58A791F3,I Will Survive: The 20th Anniversary Collection,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\L\TRABLNQ128F930E053,63
TRABLTP128F930DC6D,Creedence Clearwater Revived,ARLH4CH11C8A4173EC,Have You Ever Seen The Rain,SOSOMQZ12AB0180900,The Best Of (featuring Johnny Guitar Williamson),,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\L\TRABLTP128F930DC6D,64
TRABMFI128F1476F9F,The Police,ARIPLUN1187B99B9F9,When The World Is Running Down_ You Make The Best Of What's Still Around,SOSHODS12A6D4F79BC,Zenyatta Mondatta,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\M\TRABMFI128F1476F9F,65
TRABMIC128F9314139,Plastic Bertrand,AR99J1F1187B9AAE3F,Coeur d'acier,SOTZIEZ12AB017E1AF,Plastic Bertrand,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\M\TRABMIC128F9314139,66
TRABMSM12903CB9625,Culture Club,ARY2RKZ1187B9ABF37,Do You Really Want To Hurt Me (Live),SOQADOD12AB01860CC,The Hits Live,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\M\TRABMSM12903CB9625,67
TRABNZK128F42AB221,James & Bobby Purify,ARX4PJ61187FB4F84B,Let Love Come Between Us,SOUFOGF12A8C13E973,The Golden Age of Northern Soul Vol. 1,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\N\TRABNZK128F42AB221,68
TRABPDX128F421FAAE,Mad Professor,ARD2GXE1187B9A2E26,Schizophrenic Dub,SOUIPHX12A6D4F8AB0,Schizophrenic,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\P\TRABPDX128F421FAAE,69
TRABPKX128F14938FE,Kasia Stankiewicz,ARXY0SI1187B9B3064,Zolte Slonie,SOQXUJL12A6D4FA238,Mimikra,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\P\TRABPKX128F14938FE,70
TRABQDP128F42921F8,Whitney Houston,AR30R5E1187B9AD78A,Didn't We Almost Have It All,SOGCIGF12D021917EA,Whitney The Greatest Hits,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Q\TRABQDP128F42921F8,71
TRABQDW128F92F27C4,Alex M.O.R.P.H,ARMBVBY11F4C845133,Walk the Edge,SOJCXEB12AB017AAC3,A State Of Trance Year Mix 2008,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Q\TRABQDW128F92F27C4,72
TRABQEP128F427F957,Glenn Mercer,ARNQMZ11187FB5A7D3,Two Rights,SOSPUDU12A8C13AFB6,Wheels In Motion (Digital Only Bonus Track),,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Q\TRABQEP128F427F957,73
TRABQUM12903C9A618,Collective Soul,ARDJAPU1187B9B4D48,Fuzzy,SOMKHZP12A58A792AA,Collective Soul,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Q\TRABQUM12903C9A618,74
TRABRMZ128F4261DED,Selena,AROF4LP1187FB41C51,Como La Flor (2005 Re-mastering) (Live),SOQSYGY12A8C137E0F,Unforgettable,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\R\TRABRMZ128F4261DED,75
TRABRUJ128F42ADE0D,Boston,AROGBIV1187B9B0FCE,A Man I'll Never Be,SOBLXOO12A58A7870A,Don't Look Back,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\R\TRABRUJ128F42ADE0D,76
TRABSFZ128E07936F7,Georgie Fame & The Blue Flames,ARVIDW81187FB5AAC3,Green Onions,SOCBCKX12A6D4F9408,20 Beat Classics,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\S\TRABSFZ128E07936F7,77
TRABTWX128F42B8619,John Denver,AROQSCE1187B99F0FC,Calypso,SOXTOYZ12D02191DDB,Collections,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\T\TRABTWX128F42B8619,78
TRABUCZ128F424163A,Green Day,ARV3CRH1187B9A1B21,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05),SOWQROJ12A8AE47400,Wake Me Up When September Ends,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\U\TRABUCZ128F424163A,79
TRABUSZ128F4257BAB,Ini Kamoze,ARXGWNG1187FB503A5,Here Comes The Hotstepper,SOVLDWE12A8AE47F3E,Massive Reggae,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\U\TRABUSZ128F4257BAB,80
TRABUXE12903D16619,Apurimac,ARU6Y2R1187B9AD7B0,El cuarto de Tula,SOGXFQK12AC4689F4C,Apurimac 1991-2004,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\U\TRABUXE12903D16619,81
TRABVAW12903CDE0A2,JX,ARI90XI1187B98F702,Son Of A Gun (Radio Edit),SOXJKNB12AC3DF9BAA,90's Dance Hits,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\V\TRABVAW12903CDE0A2,82
TRABVQY128F9329431,Danny & The Juniors,AR1F5321187B9A3EBF,At the Hop,SOEOJAK12AB0184182,Rock and Roll Baby!,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\V\TRABVQY128F9329431,83
TRABVVK12903CF09C8,Mickey Gilley,ARM401Y1187FB5B7C7,True Love Ways,SONDEJX12AC468D5A6,Classic Country #1 Hits: Volume 1,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\V\TRABVVK12903CF09C8,84
TRABVVN12903CB6445,The Radio Dept.,AREKO1L1187B997EFE,Closing Scene,SOVBTZQ12AB0184DC0,Freddie And The Trojan Horse,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\V\TRABVVN12903CB6445,85
TRABWCG12903CF85F4,The Disco Brothers ft. Andrea Britton,ARER8AG1187B98D406,Inner Sense,SOVSHTL12AC9097601,Inner Sense,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\W\TRABWCG12903CF85F4,86
TRABXWL128F930C085,A.C.T,AR3YPUN1187B9B3089,Concluding Speech,SOMBQJN12AB0183DA2,Today's Report/Special Edition,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\X\TRABXWL128F930C085,87
TRABYJG128F424D12B,Victor Perez_ Tony Martinez,ARQKHTV12454A526DB,Carnaval,SOXOYUZ12A6D4FA2EE,Victor Perez & Tony Martinez,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Y\TRABYJG128F424D12B,88
TRABYQX128F427CF08,Simon & Garfunkel,ARIWB161187B9AA1D5,Keep The Customer Satisfied,SODIUTT12D02191E74,Bridge Over Troubled Water,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Y\TRABYQX128F427CF08,89
TRABYWC128F9307C66,Doris Duke,ARY9HY51187B99EC01,Your Best Friend,SOAGNEA12AB0181144,He's Gone,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Y\TRABYWC128F9307C66,90
TRABZDG128F931803F,Chantels,ARNYTHG1187B9B760F,Every Night (I Pray),SOBXSGB12AB017FE46,Come My Little Baby,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Z\TRABZDG128F931803F,91
TRABZSL128F932A529,Jeff Beck,ARHI20L1187FB4C997,A Day In The Life (Album Version),SOFDOAD12A58A7BAD3,Performing this week... At Ronnie Scotts,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Z\TRABZSL128F932A529,92
TRABZYK12903D000B2,Taboo,ARZY28S1187FB40BAB,Sous la Tour Eiffel,SOEDDXY12AC907580A,Italo Dance Collection_ Vol. 1,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Z\TRABZYK12903D000B2,93
TRABZZD128F9334C0B,Seru Giran,ARX56SC1187B9BA075,Nos Veremos Otra Vez,SOXQRKM12AB0186303,Seru Giran 92,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\B\Z\TRABZZD128F9334C0B,94
TRACBNP128F4278243,Mariah Carey,ARKSZW81187B9B695D,Vision Of Love,SOHEPYD12A8C137123,3 CD Boxset,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\B\TRACBNP128F4278243,95
TRACCYA128F424AD33,Studio Allstars,ARDDTXZ1187FB478A6,Happy Christmas (War Is Over) (Originally Performed By John Lennon),SOETNME12A8C134FF8,A Rockin' Good Christmas,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\C\TRACCYA128F424AD33,96
TRACDHB12903CDF8F6,Frozen Plasma,ARU9OUL1187FB39BC1,Irony,SOOLITV12AB018B57E,Artificial,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\D\TRACDHB12903CDF8F6,97
TRACDLP12903CBE918,Heidi Montag,ARSDVTF11F4C844C69,Body Language,SOJTBRF12AB018E3EA,Body Language,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\D\TRACDLP12903CBE918,98
TRACDWG128F428B068,Naughty By Nature;Naughty By Nature featuring Zhane,AR1ZYLH1187B98C159,Jamboree,SONZEZK12A8C13A421,Nineteen Naughty Nine Nature's Fury,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\D\TRACDWG128F428B068,99
TRACEDW128EF353CA4,Annette,ARGT8QZ1187B99FAFA,Images Of You,SOFWLPW12A6D4F29F7,Deeper,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\E\TRACEDW128EF353CA4,100
TRACETV12903CDD0F6,Klaas,ARNYO2S1187FB484BC,Our Own Way,SOEGLPJ12AB017A412,Our Own Way,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\E\TRACETV12903CDD0F6,101
TRACEUX128F425CE5A,Itzhak Perlman/Samuel Sanders,AR1D3AP1187B9B6DBB,Chansons sans paroles (2006 Digital Remaster),SOEYCRR12A8C134A85,Kreisler: Collection,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\E\TRACEUX128F425CE5A,102
TRACFHZ128F4227BA4,Jewel,ARJJRZ41187FB4C856,Serve The Ego (Hani Num Dub),SORPGNH12A6D4FCDE2,Serve The Ego,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\F\TRACFHZ128F4227BA4,103
TRACFSA12903CC089B,Lady GaGa,ARX6TAQ11C8A415850,Bad Romance,SOMPCYR12CF5CFC4F8,Pop Princesses 2010,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\F\TRACFSA12903CC089B,104
TRACHCK128F425AD97,Enigma,ARFOVF61187B9892CD,Sadeness - Part I (Extended Trance Mix),SORQPPS12D021B5249,Sadeness - Part i,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\C\H\TRACHCK128F425AD97,105
